latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.6721,114.5105,318.1,1,1,2015-07-17,0555,Aqua,MODIS,57,6.2,290.3,9.6,D,0
4.1094,114.5298,313.6,1.3,1.1,2015-07-19,0543,Aqua,MODIS,66,6.2,293.7,10.5,D,0
4.6052,114.3186,308.3,3.8,1.8,2015-07-23,0518,Aqua,MODIS,0,6.2,290.4,41.3,D,0
4.3463,114.3288,317.2,1,1,2015-08-11,0251,Terra,MODIS,22,6.2,302.3,7.3,D,0
4.5546,114.162,317.6,1.1,1,2015-08-11,0251,Terra,MODIS,0,6.2,302.5,8,D,0
4.5989,114.3336,320.1,1.1,1,2015-08-27,0549,Aqua,MODIS,41,6.2,297.6,10.1,D,0
4.5776,114.2059,314.5,2.2,1.4,2015-09-23,0530,Aqua,MODIS,39,6.2,297,21,D,0
4.5925,114.6191,314.1,1,1,2015-10-05,0554,Aqua,MODIS,60,6.2,298.7,6,D,0
4.3474,114.3184,316.6,1,1,2015-10-14,0250,Terra,MODIS,48,6.2,298.6,7.9,D,0
4.6687,114.4648,311.7,1.7,1.3,2015-11-11,0315,Terra,MODIS,36,6.2,291.8,9.4,D,0
4.6657,114.4636,315.7,1.6,1.3,2015-11-27,0613,Aqua,MODIS,56,6.2,286.1,19.4,D,0
4.2866,114.3054,310.6,1.3,1.1,2015-12-26,0542,Aqua,MODIS,38,6.2,295.6,7.8,D,0
4.3484,114.3186,315.3,1.1,1,2016-01-16,0302,Terra,MODIS,56,6.2,296.9,8.2,D,0
4.6012,114.3412,319.3,1,1,2016-01-25,0256,Terra,MODIS,62,6.2,297.3,10.3,D,0
4.5998,114.3501,350.2,1,1,2016-01-25,0256,Terra,MODIS,95,6.2,298,56.6,D,0
4.5942,114.3447,346,1,1,2016-01-25,0555,Aqua,MODIS,93,6.2,300.4,46.7,D,0
4.5955,114.3536,325.8,1,1,2016-01-25,0555,Aqua,MODIS,73,6.2,298.5,16.4,D,0
4.3459,114.3201,313.3,1.3,1.1,2016-01-27,0542,Aqua,MODIS,24,6.2,294.4,7.5,D,0
4.7007,114.6592,304.3,1,1,2016-01-31,1443,Terra,MODIS,60,6.2,293.4,4.4,N,0
4.7015,114.6619,315.2,1.1,1,2016-02-01,0601,Aqua,MODIS,66,6.2,298.1,7.1,D,0
4.5931,114.3665,301.5,1.6,1.3,2016-02-02,1431,Terra,MODIS,42,6.2,289.6,6.5,N,0
4.612,114.3445,314.8,1.6,1.2,2016-02-05,0238,Terra,MODIS,45,6.2,295.9,10.1,D,0
4.4702,114.2684,303.3,1,1,2016-02-10,0256,Terra,MODIS,23,6.2,275,3.9,D,0
4.3442,114.3149,304.4,1.3,1.1,2016-02-12,0542,Aqua,MODIS,52,6.2,275.2,7,D,0
